dataset,shots,noise_type,noise_p,meas_seed,r2,mse
lorenz,2048,amplitude_damp,0.005,44,0.5995862067168278,0.42317187280396745
lorenz,2048,amplitude_damp,0.005,55,0.5981005711143226,0.42474194658954206
lorenz,2048,amplitude_damp,0.005,66,0.5988136959497858,0.423988290303899
lorenz,2048,amplitude_damp,0.005,77,0.595517186237079,0.42747216176947583
lorenz,2048,amplitude_damp,0.008,11,0.5211909271868991,0.5060228579952029
lorenz,2048,amplitude_damp,0.008,22,0.5134945569908491,0.5141566621854892
lorenz,2048,amplitude_damp,0.008,33,0.5157934944919821,0.511727061347224
lorenz,2048,amplitude_damp,0.008,44,0.5199220494840876,0.507363854141852
lorenz,2048,amplitude_damp,0.008,55,0.5194227637842483,0.5078915174446887
lorenz,2048,amplitude_damp,0.008,66,0.5207084185387312,0.5065327906991066
lorenz,2048,amplitude_damp,0.008,77,0.5130929903267629,0.514581052454125
lorenz,2048,amplitude_damp,0.01,11,0.46875971248470116,0.5614340743196741
lorenz,2048,amplitude_damp,0.01,22,0.46343912155008593,0.5670570685021764
lorenz,2048,amplitude_damp,0.01,33,0.4657409521598992,0.5646244101213416
lorenz,2048,amplitude_damp,0.01,44,0.4695057506530059,0.5606456340257567
lorenz,2048,amplitude_damp,0.01,55,0.46797810197213185,0.5622601087619326
lorenz,2048,amplitude_damp,0.01,66,0.4695524098222532,0.560596322917186
lorenz,2048,amplitude_damp,0.01,77,0.46363544602402906,0.5668495856514121
lorenz,2048,amplitude_damp,0.015,11,0.3474708528407843,0.6896165564088367
lorenz,2048,amplitude_damp,0.015,22,0.34229686224619793,0.6950846180153778
lorenz,2048,amplitude_damp,0.015,33,0.34700282234803237,0.690111188071056
lorenz,2048,amplitude_damp,0.015,44,0.34896190966073526,0.6880407532833196
lorenz,2048,amplitude_damp,0.015,55,0.34900053171640144,0.6879999360889522
lorenz,2048,amplitude_damp,0.015,66,0.34843707663593515,0.6885954159291614
lorenz,2048,amplitude_damp,0.015,77,0.34438394384895243,0.6928789142026031
lorenz,2048,amplitude_damp,0.02,11,0.24219517729159512,0.8008757226267889
lorenz,2048,amplitude_damp,0.02,22,0.23314006311517943,0.8104454969172007
